GeneId1,GeneId2,Corr
KCTD20 | 223176_at,BLOC1S6 | 222826_at,0.912911984096617
IER5L | 226552_at,PMEPA1 | 222449_at,0.862026861056194
233300_at | 233300_at,241435_at | 241435_at,0.875388980383705
UBE2D3 | 240383_at,235879_at | 235879_at,0.944402861120583
UBE2D3 | 240383_at,KMT2E | 223190_s_at,0.896766307003114
UBE2D3 | 240383_at,ARRDC3 | 224797_at,0.867206675820448
UBE2D3 | 240383_at,239274_at | 239274_at,0.854705038011269
FUNDC1 | 235346_at,TAF13 | 227278_at,0.875160356492015
MGLL | 225102_at,PMEPA1 | 222449_at,0.880529047350777
MGLL | 225102_at,WASL | 224813_at,0.854306560673238
MGLL | 225102_at,ADTRP | 229070_at,-0.867874853561171
MGLL | 225102_at,IER5L | 226552_at,0.868273715234394
TMEM189-UBE2V1///TMEM189///UBE2V1 | 223186_at,229067_at | 229067_at,0.867505898988844
TMEM189-UBE2V1///TMEM189///UBE2V1 | 223186_at,LOC101928879///ZNF250///COMMD5 | 223819_x_at,0.865506981739404
DENND6A | 226965_at,SYCN | 229995_at,-0.891647560264166
DENND6A | 226965_at,243890_at | 243890_at,-0.878463848617953
DENND6A | 226965_at,231460_at | 231460_at,-0.878363408778885
DENND6A | 226965_at,ABRACL | 223361_at,0.904218583373394
DENND6A | 226965_at,SLC39A5 | 231667_at,-0.875298607098892
DENND6A | 226965_at,SUPT20H | 226330_s_at,0.912816362467374
DENND6A | 226965_at,235879_at | 235879_at,0.896145450565585
DENND6A | 226965_at,RASSF3 | 230466_s_at,0.940068316641712
DENND6A | 226965_at,KMT2E | 223190_s_at,0.929466937303192
DENND6A | 226965_at,PHACTR2 | 227947_at,0.872281787570383
DENND6A | 226965_at,WDFY1 | 224800_at,0.941054340328702
DENND6A | 226965_at,LINC00261 | 228004_at,-0.870428331264508
DENND6A | 226965_at,ARRDC3 | 224797_at,0.868995085464334
DENND6A | 226965_at,KPNA4 | 225267_at,0.858728017404002
DENND6A | 226965_at,IAH1 | 230621_at,0.869415603123966
DENND6A | 226965_at,239274_at | 239274_at,0.862439055611594
DENND6A | 226965_at,PPP4R3B | 233759_s_at,0.929521692522748
DENND6A | 226965_at,UBE2D3 | 240383_at,0.86631602283446
SLC7A2 | 225516_at,ABRACL | 223361_at,-0.853864189339944
YOD1 | 227309_at,SYCN | 229995_at,-0.907201503560281
YOD1 | 227309_at,KPNA4 | 225267_at,0.866829061586297
YOD1 | 227309_at,STK35 | 225649_s_at,0.901225635898104
YOD1 | 227309_at,239274_at | 239274_at,0.869049610112113
CREBZF | 225594_at,TEX11 | 233514_x_at,-0.905031130422272
CREBZF | 225594_at,RAB8B | 226633_at,0.855365575032019
CREBZF | 225594_at,235879_at | 235879_at,0.877257908613361
CREBZF | 225594_at,TMEM52 | 230467_at,-0.868410988568928
CREBZF | 225594_at,KMT2E | 223190_s_at,0.906935402179041
CREBZF | 225594_at,UBE2D3 | 240383_at,0.877235910919668
CREBZF | 225594_at,DENND6A | 226965_at,0.858564506650775
TTL | 224896_s_at,KLHL5 | 226001_at,0.886698114304134
LNPEP | 225176_at,SUPT20H | 226330_s_at,0.855355443888294
LNPEP | 225176_at,RAB8B | 226633_at,0.909332768286505
LNPEP | 225176_at,235879_at | 235879_at,0.894100630065973
LNPEP | 225176_at,RASSF3 | 230466_s_at,0.88206093275124
LNPEP | 225176_at,KMT2E | 223190_s_at,0.851376569521336
LNPEP | 225176_at,CD47 | 226016_at,0.896425791869813
LNPEP | 225176_at,DENND6A | 226965_at,0.8867768839423
232850_at | 232850_at,GPHA2 | 237230_at,0.863846602377129
243922_at | 243922_at,PM20D1 | 239929_at,0.886565953502012
243922_at | 243922_at,LOC101928635 | 240435_at,0.860257613080769
243922_at | 243922_at,KLB | 244276_at,0.850849731262908
243922_at | 243922_at,USF3 | 242508_at,0.935775848864908
DNM1L | 226154_at,SYCN | 229995_at,-0.930884293682919
DNM1L | 226154_at,TEX11 | 233514_x_at,-0.85798480369506
DNM1L | 226154_at,KPNA4 | 225267_at,0.88940617285471
DNM1L | 226154_at,STK35 | 225649_s_at,0.900475172983372
DNM1L | 226154_at,239274_at | 239274_at,0.866435485524914
DNM1L | 226154_at,TAF13 | 227278_at,0.856893517051503
DNM1L | 226154_at,YOD1 | 227309_at,0.89224214371294
GPANK1 | 225476_at,USF3 | 242508_at,0.857602273573922
GPANK1 | 225476_at,243922_at | 243922_at,0.862532276305279
MOB1B | 225997_at,SYCN | 229995_at,-0.869444674319388
MOB1B | 225997_at,TEX11 | 233514_x_at,-0.858539142188385
MOB1B | 225997_at,MIB1 | 224720_at,0.866315797098061
ATP11A | 230875_s_at,PM20D1 | 239929_at,-0.852566657442196
KPNA4 | 225268_at,SYCN | 229995_at,-0.931133422401542
KPNA4 | 225268_at,TMED6 | 236430_at,-0.850473931075128
KPNA4 | 225268_at,TEX11 | 233514_x_at,-0.868150146405002
KPNA4 | 225268_at,GSKIP | 223239_at,0.870813922682869
KPNA4 | 225268_at,TWSG1 | 225406_at,0.859756876281871
KPNA4 | 225268_at,TMEM52 | 230467_at,-0.881717307615314
KPNA4 | 225268_at,SLC16A10 | 222939_s_at,-0.855447180109393
KPNA4 | 225268_at,MIB1 | 224720_at,0.866035378760225
KPNA4 | 225268_at,KPNA4 | 225267_at,0.967668936455868
KPNA4 | 225268_at,IAH1 | 230621_at,0.874567041689581
KPNA4 | 225268_at,STK35 | 225649_s_at,0.930343031312923
KPNA4 | 225268_at,PPP4R3B | 233759_s_at,0.887283111449147
KPNA4 | 225268_at,TAF13 | 227278_at,0.90910828825188
KPNA4 | 225268_at,FUNDC1 | 235346_at,0.853454891558879
KPNA4 | 225268_at,YOD1 | 227309_at,0.864540418886796
KPNA4 | 225268_at,DNM1L | 226154_at,0.9320979548502
KPNA4 | 225268_at,MOB1B | 225997_at,0.860994127230599
C11orf80 | 238593_at,BACE1 | 222462_s_at,-0.88608973620063
C11orf80 | 238593_at,CAMK2N2 | 230706_s_at,-0.903741352244639
CSNK1G3 | 227767_at,SYCN | 229995_at,-0.935009677542617
CSNK1G3 | 227767_at,TEX11 | 233514_x_at,-0.896566460480459
CSNK1G3 | 227767_at,SKAP2 | 225639_at,0.853464206450326
CSNK1G3 | 227767_at,TMEM52 | 230467_at,-0.890900387068034
CSNK1G3 | 227767_at,RASSF3 | 230466_s_at,0.868708481372262
CSNK1G3 | 227767_at,KMT2E | 223190_s_at,0.923185680650203
CSNK1G3 | 227767_at,WDFY1 | 224800_at,0.906643331809651
CSNK1G3 | 227767_at,ARRDC3 | 224797_at,0.866225624887034
CSNK1G3 | 227767_at,KPNA4 | 225267_at,0.924814144277227
CSNK1G3 | 227767_at,IAH1 | 230621_at,0.892031866457101
CSNK1G3 | 227767_at,STK35 | 225649_s_at,0.880499861286323
CSNK1G3 | 227767_at,239274_at | 239274_at,0.871814260292359
