GeneId1,GeneId2,Corr
RCSD1 | 225763_at,CMTM4 | 225009_at,-0.885364075921064
RCSD1 | 225763_at,JAK3 | 227677_at,0.884568557869893
RCSD1 | 225763_at,SRGAP1 | 227484_at,-0.877650791071472
RCSD1 | 225763_at,TEAD1 | 224955_at,-0.852913268629592
RCSD1 | 225763_at,PARVG | 233510_s_at,0.901831975922645
GPATCH2L | 229520_s_at,FAM101B | 226876_at,0.862037900260803
GPATCH2L | 229520_s_at,NAV2 | 222598_s_at,0.89442236300098
GPATCH2L | 229520_s_at,CFAP221 | 231043_at,0.929520095102983
LOC100506797 | 241234_at,FBXW5 | 223050_s_at,0.853495327296796
LOC100506797 | 241234_at,IL1RL1 | 242809_at,0.899548509256656
LOC100506797 | 241234_at,BACE1 | 224335_s_at,0.886402980119711
LOC100506797 | 241234_at,234640_x_at | 234640_x_at,0.871436078947997
LOC100506797 | 241234_at,NAV2 | 222598_s_at,0.88094921137182
LOC100506797 | 241234_at,236599_at | 236599_at,0.851859571050728
LOC100506797 | 241234_at,CFAP221 | 231043_at,0.938830198255901
LSAMP | 229244_at,IL1RL1 | 242809_at,0.864450499835386
LSAMP | 229244_at,LOC100506797 | 241234_at,0.886999026436942
MARCH1 | 229383_at,MYH14 | 234290_x_at,-0.853068831233715
LIX1 | 230865_at,KCNJ6 | 232411_at,0.856902437157534
SYK | 244023_at,SYK | 226068_at,0.85656229627793
LPAR5 | 230252_at,MYH14 | 234290_x_at,-0.854910199335423
LPAR5 | 230252_at,MARCH1 | 229383_at,0.868992564995353
FNDC5 | 226096_at,CXCL14 | 222484_s_at,0.901068932144397
FNDC5 | 226096_at,KCNIP3 | 228269_x_at,0.861171798928213
FNDC5 | 226096_at,TUNAR | 232111_at,0.878343118554418
FNDC5 | 226096_at,ZNF462 | 226575_at,0.859987201103755
FNDC5 | 226096_at,C14orf132 | 231859_at,0.867726795839961
LARP6 | 236565_s_at,GPSM2 | 230002_at,0.856058159889515
DNALI1 | 227081_at,ADCY1 | 235049_at,0.859062932292323
DNALI1 | 227081_at,UBE2QL1 | 226618_at,0.866604032562003
DNALI1 | 227081_at,FNDC5 | 226096_at,0.899285047227914
PCGF5 | 227935_s_at,TIMM23B | 229428_at,0.875178380969003
SEZ6 | 229651_at,CXCL14 | 222484_s_at,0.860974647962375
SEZ6 | 229651_at,ADCY1 | 235049_at,0.878682956282284
SEZ6 | 229651_at,UBE2QL1 | 226618_at,0.895889537007272
SEZ6 | 229651_at,FNDC5 | 226096_at,0.891696244105602
SEZ6 | 229651_at,DNALI1 | 227081_at,0.897709426018191
PIK3CG | 239294_at,MPEG1 | 226818_at,0.870943412907333
PIK3CG | 239294_at,MPEG1 | 226841_at,0.852829626660827
PIK3CG | 239294_at,JAK3 | 227677_at,0.862260124408185
PIK3CG | 239294_at,RCSD1 | 225763_at,0.884456773014957
CCAR1 | 224736_at,BBX | 223134_at,0.882603031761469
CCAR1 | 224736_at,DNAJB14 | 222850_s_at,0.896280772618198
CCAR1 | 224736_at,MPHOSPH8 | 225041_at,0.906974531477142
AIFM3 | 244084_at,C2orf40 | 223623_at,0.857901111443508
BCL2L13 | 226798_at,TMEM120A | 223482_at,0.879089430899401
BCL2L13 | 226798_at,RNF24 | 226542_at,0.894521409088487
BCL2L13 | 226798_at,GALNT16 | 230418_s_at,0.852193236532223
BCL2L13 | 226798_at,242775_at | 242775_at,0.894773185508975
BCL2L13 | 226798_at,LOC105374366 | 229189_s_at,0.857956858505125
BCL2L13 | 226798_at,CDS1 | 226185_at,0.856831067682199
ZBTB20 | 226252_at,ZBTB20 | 235308_at,0.879969162632413
NEK6 | 223159_s_at,242775_at | 242775_at,0.86701045923454
227943_at | 227943_at,LSAMP | 229244_at,-0.860745430799314
ZSWIM5 | 232336_at,242775_at | 242775_at,0.850432944714979
ZSWIM5 | 232336_at,MASP1 | 232224_at,0.857565077332772
ZSWIM5 | 232336_at,BCL2L13 | 226798_at,0.871663875043075
